song_id,artist,title,bpm,youtube_link,kor_title
g6qhn2sV11j5GbD5C95hshIhK4T/rUvroz6+R5ff2gE=,GFRIEND,시간을 달려서 (Rough),112,https://www.youtube.com/watch?v=u5HbBIcJFmM,여자친구 - 시간을 달려서
SP5vL37fCsOdXHv670eaJE/In8VMCiS1BW0cmyjTOg4=,NU'EST,Love Paint (every afternoon),147,https://www.youtube.com/watch?v=QTQhNI9NNQw,NU'EST - Love Paint
aKsTTIj5GRUh1qORF37/YAqTkyJeEu9Sx0Wus9H3MgQ=,EXO,Heart Attack,81,https://www.youtube.com/watch?v=17EC_xVcqC8,EXO - Heart Attack
Mpt5nm+9IOQikxbu5d1loErTrmSRpVXWUntah8R9EFw=,Red Velvet,Ice Cream Cake,172,https://www.youtube.com/watch?v=3zo4F0ZI5wE,레드벨벳 - Ice Cream Cake
Xhgn4mGH/Q5Csk+5sRJBFKpJ3i8ihZStkL+4NXv+zVo=,EXO,Monster,150,https://www.youtube.com/watch?v=VatHIJh4O0M,EXO - Monster
pU21BfJjAsgsjx71MMxV6pNmqgXpauDj6SLt31nAad4=,IU,Twenty-three,123,https://www.youtube.com/watch?v=NeeMfvMnYnE,아이유 - 스물셋
Mlhq53eHloMfEcadewZEmF+V5k9HihDV7SQO+NQVsFA=,HyunA,Red,164,https://www.youtube.com/watch?v=taSWFpvWOag,현아 -Red
b94+UxFpeS7cGmv2EWhN3phRX1BV54VIjccmK2leSfw=,Ailee,i have gained a song(노래가 늘었어),95,https://www.youtube.com/watch?v=S122aFkcOiw,에일리 - 노래가 늘었어
k8yHM73KvTxUBXcM+obiAoYvNVQwfvgYkZKJRFlqEIU=,INFINITE,Be Mine,130,https://www.youtube.com/watch?v=YnubLDYNNfQ,인피니트 - 내꺼하자
Tf93Scu6MgsOkB0qbqO6wiN/6dnzSG5Y5xx1SeNsYRQ=,f(x),Lollipop (feat. SHINee),131,https://www.youtube.com/watch?v=bcYxNusTPrw,f(x) - Lollipop
rRhch8VwMSet/Rt6gwGPLLWS5sK/aPo9XyPRPrWE+yI=,After School,너 때문에,125,https://www.youtube.com/watch?v=cllEoGTbPIM,애프터스쿨 - 너 때문에
MCpZc3FWmz72hHXWEa0xbuwzttPE56Kt4tG7DwpoJQg=,BoA,One Dream (Feat. HENRY(Super Junior-M)&KEY(SHINee)),82,https://www.youtube.com/watch?v=EOAxIz7VQU8,보아 - One Dream
kYtUftZOYlr59JaQJMef9d/WFaRwfizvcuyqSoCbqh8=,SISTAR| Giorgio Moroder,One More Day,128,https://www.youtube.com/watch?v=zdoB2TPqWxs,시스타 - One More Day
APz2b+c0wBtFTmtDh/BwzRjG7Fg71aAMSkekLMhs2I4=,GAIN,피어나,124,https://www.youtube.com/watch?v=kFLNAB5-qsQ,가인 - 피어나
2iYaNbJzzaLbAmj8KG3jOs5l9lWKkdvJFJ8rA+VVEnc=,Park Hyo Shin,Wild Flower,135,https://www.youtube.com/watch?v=ZtcM3KhgF-s,박효신 - 야생화
LcSaLwUIntsoukWeRR58t/U7Yx3WpXMukmBvl14vR1w=,NCT 127,Switch,112,https://www.youtube.com/watch?v=jAhJl87fEOQ,NCT 127 - Switch
xpU/E0UMk6FqkWBSfitY6Qn70yJjtA4tB48t6/uGnsw=,VIXX,Chained up,92,https://www.youtube.com/watch?v=pMkIfldadUc,빅스 - 사슬
oZxBYUleOfrXdMrsQF9ky8zte7BzEPWTfg/tSO8v8J4=,BoA,Only One (Instrumental),90,https://www.youtube.com/watch?v=ty-88JATqxc,보아 - Only One (Instrumental)
5LFOKWQ+DUJ0u1AlTFav2nUo9vKVij9ztcniaHHLoPs=,2NE1,Goodbye,152,https://www.youtube.com/watch?v=o3hMsjMkOB4,2NE1 - Goodbye
uZ03KC8nxjAoeexkOpPip5qn5nm+ppF01nJ5duD8x3E=,Wheesung,Night and Day,70,https://www.youtube.com/watch?v=eV1KawA_5Q0,휘성 - Night and Day
