song_id,artist_name,name,isrc
fAZLdfQaLG76a6Ei4alt1eSjBM9rshQkiQEC6+n+y08=,Littlesong,I dreamt I dwelt In Marble halls| From The Bohemian Girl (발페 보헤미아의 소녀- 대리석 궁전에 사는 꿈을 꾸었네),KRB361434193
w2D9Mf7vMdav4rGqPN6s5BMKGG85HCdLgGEoCfAX5aA=,ROY KIM,Tear drops,KRA491501008
vh21qnqo4x98JKcNBc79WHZUZvhHIgm5lj8n8jMYRYU=,f(x),So into U,KRA300811444
/ZnGVF4G2OFL7A6DPMPmRp+NpXEGIQxvzXbpqCX8W54=,Yiruma,Prelude in G minor,KRA031207956
4+c6i41ChAK5PvpjAKgztqK3FivROg7NUVtUMI5UoB0=,Master's Sun OST,Foolish Spy,KRA381205180
TGvud+ffIR1eB/7pmW2F4oOv0Fdw+FTsyHrcVpFrf9k=,Various Artists,First time,KRA381210792
XAdE/7TmqqcYIwnlpPB1HEajZFolNdTZ/1YC/NSXzro=,NCT 127,Back 2 U (AM 01:27),KRA301700013
Sr//KKIsfq1+spDzBU+SjPeNt1B1OzUW10HiqH0v91Q=,Baek Z Young,리얼러브송,KRA381001521
zd1dxRx7hD/t1/1mrj2uXbjant8oO6C2CHBg84vc9IQ=,San E,On Top of Your Head,KRA111500112
BgVPQUVQtyzBJTg0KI19rizQPNmWpf/3nSxntqhDIE8=,APRIL,Muah!,KRA381500652
v1lgFCHCRXuZhJ+1JRi5Sm6xnkvCzc7k/PmMu8od7U0=,OH MY GIRL,LIAR LIAR,KRA381600425
IFyFws3RGIL6nC5hHwUEOuOAyronl49eK6RZ26vbde4=,GFRIEND,TRUST,KRA381600126
1pUW/ieTNI388Ldrfm1Tk1InGiK95iYGL48ayVTFZRw=,2LSON,I’m in love (feat.에일리),KRA381500458
RYMnB81ps8CBTASNbt5wB2U2G8buiLudCsP46uCcMWE=,Ailee,Why You Think I'm In Love With You,KRA381601883
GJIFI/4mmfH1iv2n3yEKAjj+rpQ5tJuoulc8cTSwZ70=,hyukoh,공드리,KRA381210839
nFpE1rRvcjxew+n6TaUI9/Lw1pYFPc7sUEsoz75JK3E=,MONSTA X,White Love,KRA381601874
wXr2ORFMOd5PJ+sQo+wr3vaVBvdMTvghLq7bZKWDjY8=,Verbal Jint,My Type 2 (feat.강민경&산체스),KRA381210577
6DgN/noqlIRLh5xpWBSaBqKt+MfnaRtTHmwIseG/E8k=,VICTON,Beautiful,KRA381602250
0wKMOfmZZbXERpnkywdaw4mM/BsYmeIf+YouEPbwgKg=,Parc Jae Jung,Because Of You,KRA491401376
AsMbnFq2OolXDBZLUKWsjv4o4MgTb4DtTOKFIFfcayA=,Tei,Just leave,KRB471601602
4fmKQ8b8Ss6xEhKuIvJxiAsYgQb0HfItTsXDPDS/zyA=,Apink,NoNoNo,KRA491300713
mUbix9R18WW0/O2IGq+viXG8IdSYhgcq6SSt54ji/fw=,Davichi(Min Kyung),go to the hospital(farewell..),KRB920137892
hAbJbPZk3UmBGBJYdAIGCYWClULjq5o1Uz0MZiEPD/A=,Jessi,Raise Your Heels,KRA031212652
9nA0o5PTfuF1c8XuFhBHjEhO95Vu0SrITepRRfM6myY=,Littlesong,Different Everyday (하루가 다르게),KRB361434184
0DNAS5RCEmmDMiKIUeJ1Kxew+HtnXGBETJgcl0EETyk=,Hong Dae Kwang,25..,KRA491400172
4rL9GLTiNX6EFexOrP1c0FCdN2YFwWnQOvzDAUf7Uks=,CNBLUE,Just Please,KRA851100008
Y7ozs8K/mALog0kxf++lA2scA0Nw4UGmlspd8GEYbGA=,Marriage over Love OST,Love Lane [Inst.],KRA491401752
IPTJuINyBv75NuM14T9LGx76HZ7tDkUkULAwLiEMxlw=,Olltii,무중력 (feat.달총 Of Cheeze| 쟈코비 플래닛),KRA381500840
Pcs8+4OAFjxe0kH9P5WyKwe3CQSQ+qnkQgQPI/dqxWA=,Yiruma,Variation on a Theme from 'Dance',KRA031212120
