song_id,artist_name,name
iXbxmEpOCNBNj9ty45gPuwtYvUqQBOKNsXANX25joiY=,EXO,LUCKY
IPeg6L8QvmfJTuOFNa4iPnk93WzyceWdxnVDCreoEpE=,EXO,LIGHTSABER
U03If8ekFQ69MIodnGZOgaFV9vbFpwDQZQYCf5To5fo=,Taeyeon,Secret
yv4Nasbw8r06KtMHzaEMF/SrpYPv+V73JrwFClUoRQ0=,Taeyeon,Rain
mkfoUQG7DUvB7axTbdjnJc96elYMdO8M+PrMrzF8cek=,SUPER JUNIOR DONGHAE & EUNHYUK,Growing pains
vmtbcUCwK/+a2PpaquyllzeRUhxQKcn2tCOQ+Lh84r0=,SUPER JUNIOR,Mr. Simple
z8xAhD/t0v/wUKZ8Rz0Pwojr5psdmUQn3/eu0Yw11zQ=,BIGBANG,Let’s not fall in love
w4Zku7HxtkAKl/BB8H81ZfWOXwnnmVbZBvFZeRPuRUU=,BANGTAN BOYS,Blood Sweat & Tears
eq2bsIADV2vT3O1Q9XRd1mmI84wG5I/FLXvbk7korXg=,BANGTAN BOYS,Dope
JTMsJNPcL2ambkp1Z/MeBEnFEzZEOKetdLPrJxHf7v8=,BIGBANG,BANG BANG BANG
j7+5QN2jrM1/brTfS1tBLbgVSxm7enfKWlheRLUpo9A=,Han Dong Geun,Amazing You
U0TDs2qg5AXXAV3tJ0ageVvOdCEZOILhp0lwmlOvfPc=,Various Artists,Only For Her
Vla6ngHTZjRhkJB5k0kWs6EowfaJsyl3nOA1QVP0O98=,Junggigo,Only U
VhjYjor/PN9DpNFCPx/7NVw0xyGPrkLH1nUDNvVc91U=,IU,LOST CHILD
z0iT0Kko6Bga/c57YgVR8w59M5kzQrWIbqRhvxTn/TM=,BEAST,Ribbon
UrjG2oeycZsLgGRCk5Ei0Xi1GCRvNuHPuaNrC8Mphkc=,KYUHYUN,Love in Time
V5vnSrmStEWpy2wuA/VqDbaSR99xnf6sQQapvSgysb4=,DAVICHI,Beside me
1LlvEAK/DD6jE+lmynOvX9jI6aZoK6wZON0zLBKWZhQ=,EXID,Up & Down
Hwwx0mwJkDhj8uf5e0h9IflR2SfkXgn/wpAIYprXars=,Park Boram,Please say something| even though it is a lie
YNS/NTBd/DKjo86SHYtxGGf+bJGCQ7yocr7w6MLseOA=,Lim Seul Ong x JOY,Always In My Heart
WgDEBC9AFPXetaX7qiiNekPGc9905VKphpYq9fgf9PY=,Noel,이별밖에
Wp0WMe+Z8uXJAVL3nm0BLG+2HZnJbQ2zTgfViIYCGnk=,황치열| leeSA(리싸),이 밤의 끝을 잡고 (LG유플러스 tv G 우퍼 광고 삽입곡)
WWgB6GYGuyplhfw51plAbvpnixjsFA3XKSyEuTN42Tk=,LYn,Love Story
3UUIA0sZkQ+fdlfYACa2BuePGOyXuoaT+1lRWdMYsLI=,HyunA,Change
c6qpXwh1DFB4QdmLWv4cle1/qYbVirqx2vYsx6INF98=,SALTNPAPER,Bye| Autumn
uEHWPi4v6lFsPyD8u0OVEwaa3h5/aJkFwc1+wTVT6bM=,EXO,Lotto
0PSoBhrpfwF09qQKvTiItwZNPjOuyL0uoTazKevG8ls=,Taeyeon,11:11
UX0pv7pZTBvi40sWWfuXoGf+JOn+8jptKJe1zZk2TTw=,EXID,Every Night
5x7PIqqzV2/oYEFX6sy/fwOKxf3+LYO0l89D6XEGwBA=,Song Ji Eun,Bobby Doll
x6u5YRNWfWRwBSupKIjHonX/pAAr4HtXW4ZUIh7/iPo=,BIGBANG,LOSER
G5ksHKp0zRUU+YSrlkblfMgJRG0NrNz+v7afNoC6HLI=,Song Ji Eun,쳐다보지마
f+CkfiVrniYo/Kfw3UakAXL1FDeDzwjfAvdpIW+V5Bk=,BIGBANG,쩔어 ZUTTER
w6DP8hBBT7eE7+D1fYd/cgQ3Oz+owdqHaj7jxbkmEjA=,Song Ji Eun,La Boum
M+bq9eYbm6GyBhndRV4gwCgcYJsdX9Fs16ZktstEOP8=,Song Ji Eun,별
kc/i+A1eC1gl+vEYucRJpJaE/1HFxv2IINZYhho+tTQ=,Song Ji Eun,예쁜 나이 25살
0qRqltMHOBTISu27Ua7HKmICh9eR+IPLZ29rRI8gqBQ=,Song Ji Eun,쳐다보지마
dOxEEdXs19T3OoH6vOdUoalkg5femNBvvIPsDXdk7bE=,Yiruma,Passing By
ZvR6n/KlXHvhdc4+EFDByMQH0dOiSjqSSsQtLaoaXP4=,Yiruma,Do You?
bQoPp7Dtm2OufWSvxNFt5bRYc4eeK2dKd7McEeH+G0A=,Yiruma,Fotografia
8G6AGY782x8L27kdux6KBPR4Vjwt9ZK4KQvzWOE2Efk=,Gummy,눈꽃
dHCRpbU0OT72GVAS1DSHQek+RIcgV6oF+2ZnDIYYfBk=,4MINUTE,Is It Poppin'?
B6Bi7r5e1ZLfO00sxrj76+sgPY444l0AH8foHk0abTc=,Na Yoon Kwon,So It Is
qlWg+YRAuqePyYE3shCfKWH9aK9YxBnjZzX37CLiHVg=,ROO,Just Good
AL70NKMet7n3VFv0MqJc3tw6gU2rSzsS+bDYOXc63vM=,Andup,You
bx7NI6iwpISmfMkJDjGjvan8ufTZgC8LV/aNP5owv9U=,Geeks,Sometimes
J/L6uKiASSokYtpwHExNvYV6+NuSoi/FcjIcm4NGzn0=,EXID,Ah Yeah
4XRnrURHys43q7zQoY5K3RlslNaG5/tc4MOMNxHaMu4=,EXID,HOT PINK
1RJuWiWIJddfz1ezMMD8dJu9nOvlBBnRB6EVl6c8Zak=,SHINee,1 of 1
f+kUjlxaL1nKJ2FZCOkc40O8YHvA5KJY24ykMh3qXII=,I.O.I,Very Very Very
hdThthstt+2XTr3IlR1Iv5qK0VYnWYA2k3cLfZ9wa6E=,Ailee,"Because of Tears (from ""Secret"")"
PRZlQiqnIRE+h/EdI1Y49Ojh8hb04106ZUsnyG+bYpw=,Ailee,don't touch me(손대지마)
t5lLpAiMYYNg/2iH89jIcFQom73yCyQTErN3U6UoD+8=,Ailee,보여줄게
+ByQQAzFKNqRb3qbqwqUOiyDh0OIbacu+QtW0MAN+34=,SunnyHill,On the way home
mUYsGGEoaKE0Sy4tkG+/ppRtkpJOTCAm0RvsGW5RrNA=,SISTAR,Give it to me
1lD3E3GrnqGE4ryPK6/bjPP1tmhmIUtxEAMuTNgrppg=,Kisum & Im Seul ong,Finding Differences
B+YKIUHg7EzrkCywVAC/hfggJ2cfbUqsRmR8wvGIaC0=,Kim Bum Soo,I Love You
rwf0hbpOIxnT7M/BJcyGIsWAol6QOvFXoBSbDjL2ie0=,Hyolyn,Turnaround
XasorVqlHkhUWTg9rp5hWXsANrGld/lEjLdfhN5xF/I=,Hyolyn,Slow
sHgmRtLUWNnW4bfbLX3mgzAo5k+WgnPWq0XV9YH+BkI=,Hyolyn,I Miss You
pVxr7RVua1Af9hBULi+kraAsiGIAnSyEtXMOQIHmHxM=,Hyolyn,Dope
